OrderID,EmployeeID,FirstName,LastName,TerritoryDescription,RegionDescription,CustomerID,CustomerName,CustomerContact,ProductID,ProductName,CategoryID,CategoryName,sell_price,Quantity,QuantityPerUnit,SupplierID,supplier_name,ShipperID,ShipperName
10705,9,Anne,Dodsworth,Troy                                              ,Northern                                          ,HILAA,HILARION-Abastos,Carlos Hernndez,31,Gorgonzola Telino,4,Dairy Products,12.5,20,12 - 100 g pkgs,14,Ravenna,2,United Package
10411,9,Anne,Dodsworth,Portsmouth                                        ,Northern                                          ,BOTTM,Bottom-Dollar Markets,Elizabeth Lincoln,59,Raclette Courdavault,4,Dairy Products,44,9,5 kg pkg.,28,Annecy,3,Federal Shipping
10324,9,Anne,Dodsworth,Portsmouth                                        ,Northern                                          ,SAVEA,Save-a-lot Markets,Jose Pavarotti,46,Spegesild,8,Seafood,9.6,30,4 - 450 g glasses,21,Lyngby,1,Speedy Express
10978,9,Anne,Dodsworth,Hollis                                            ,Northern                                          ,MAISD,Maison Dewey,Catherine Dewey,44,Gula Malacca,2,Condiments,19.45,6,20 - 2 kg bags,20,Singapore,2,United Package
10705,9,Anne,Dodsworth,Roseville                                         ,Northern                                          ,HILAA,HILARION-Abastos,Carlos Hernndez,31,Gorgonzola Telino,4,Dairy Products,12.5,20,12 - 100 g pkgs,14,Ravenna,2,United Package
10411,9,Anne,Dodsworth,Troy                                              ,Northern                                          ,BOTTM,Bottom-Dollar Markets,Elizabeth Lincoln,59,Raclette Courdavault,4,Dairy Products,44,9,5 kg pkg.,28,Annecy,3,Federal Shipping
10324,9,Anne,Dodsworth,Troy                                              ,Northern                                          ,SAVEA,Save-a-lot Markets,Jose Pavarotti,46,Spegesild,8,Seafood,9.6,30,4 - 450 g glasses,21,Lyngby,1,Speedy Express
10978,9,Anne,Dodsworth,Southfield                                        ,Northern                                          ,MAISD,Maison Dewey,Catherine Dewey,44,Gula Malacca,2,Condiments,19.45,6,20 - 2 kg bags,20,Singapore,2,United Package
10705,9,Anne,Dodsworth,Hollis                                            ,Northern                                          ,HILAA,HILARION-Abastos,Carlos Hernndez,32,Mascarpone Fabioli,4,Dairy Products,32,4,24 - 200 g pkgs.,14,Ravenna,2,United Package
10411,9,Anne,Dodsworth,Roseville                                         ,Northern                                          ,BOTTM,Bottom-Dollar Markets,Elizabeth Lincoln,59,Raclette Courdavault,4,Dairy Products,44,9,5 kg pkg.,28,Annecy,3,Federal Shipping
10324,9,Anne,Dodsworth,Roseville                                         ,Northern                                          ,SAVEA,Save-a-lot Markets,Jose Pavarotti,46,Spegesild,8,Seafood,9.6,30,4 - 450 g glasses,21,Lyngby,1,Speedy Express
10978,9,Anne,Dodsworth,Bloomfield Hills                                  ,Northern                                          ,MAISD,Maison Dewey,Catherine Dewey,44,Gula Malacca,2,Condiments,19.45,6,20 - 2 kg bags,20,Singapore,2,United Package
10705,9,Anne,Dodsworth,Southfield                                        ,Northern                                          ,HILAA,HILARION-Abastos,Carlos Hernndez,32,Mascarpone Fabioli,4,Dairy Products,32,4,24 - 200 g pkgs.,14,Ravenna,2,United Package
10501,9,Anne,Dodsworth,Hollis                                            ,Northern                                          ,BLAUS,Blauer See Delikatessen,Hanna Moos,54,Tourtire,6,Meat/Poultry,7.45,20,16 pies,25,Montral,3,Federal Shipping
10324,9,Anne,Dodsworth,Hollis                                            ,Northern                                          ,SAVEA,Save-a-lot Markets,Jose Pavarotti,59,Raclette Courdavault,4,Dairy Products,44,40,5 kg pkg.,28,Annecy,1,Speedy Express
10978,9,Anne,Dodsworth,Minneapolis                                       ,Northern                                          ,MAISD,Maison Dewey,Catherine Dewey,44,Gula Malacca,2,Condiments,19.45,6,20 - 2 kg bags,20,Singapore,2,United Package
10705,9,Anne,Dodsworth,Bloomfield Hills                                  ,Northern                                          ,HILAA,HILARION-Abastos,Carlos Hernndez,32,Mascarpone Fabioli,4,Dairy Products,32,4,24 - 200 g pkgs.,14,Ravenna,2,United Package
10501,9,Anne,Dodsworth,Southfield                                        ,Northern                                          ,BLAUS,Blauer See Delikatessen,Hanna Moos,54,Tourtire,6,Meat/Poultry,7.45,20,16 pies,25,Montral,3,Federal Shipping
10324,9,Anne,Dodsworth,Southfield                                        ,Northern                                          ,SAVEA,Save-a-lot Markets,Jose Pavarotti,59,Raclette Courdavault,4,Dairy Products,44,40,5 kg pkg.,28,Annecy,1,Speedy Express
10506,9,Anne,Dodsworth,Portsmouth                                        ,Northern                                          ,KOENE,Kniglich Essen,Philip Cramer,25,NuNuCa Nu-Nougat-Creme,3,Confections,14,18,20 - 450 g glasses,11,Berlin,2,United Package
11016,9,Anne,Dodsworth,Portsmouth                                        ,Northern                                          ,AROUT,Around the Horn,Thomas Hardy,31,Gorgonzola Telino,4,Dairy Products,12.5,15,12 - 100 g pkgs,14,Ravenna,2,United Package
10705,9,Anne,Dodsworth,Minneapolis                                       ,Northern                                          ,HILAA,HILARION-Abastos,Carlos Hernndez,32,Mascarpone Fabioli,4,Dairy Products,32,4,24 - 200 g pkgs.,14,Ravenna,2,United Package
10501,9,Anne,Dodsworth,Bloomfield Hills                                  ,Northern                                          ,BLAUS,Blauer See Delikatessen,Hanna Moos,54,Tourtire,6,Meat/Poultry,7.45,20,16 pies,25,Montral,3,Federal Shipping
10324,9,Anne,Dodsworth,Bloomfield Hills                                  ,Northern                                          ,SAVEA,Save-a-lot Markets,Jose Pavarotti,59,Raclette Courdavault,4,Dairy Products,44,40,5 kg pkg.,28,Annecy,1,Speedy Express
10506,9,Anne,Dodsworth,Troy                                              ,Northern                                          ,KOENE,Kniglich Essen,Philip Cramer,25,NuNuCa Nu-Nougat-Creme,3,Confections,14,18,20 - 450 g glasses,11,Berlin,2,United Package
11016,9,Anne,Dodsworth,Troy                                              ,Northern                                          ,AROUT,Around the Horn,Thomas Hardy,31,Gorgonzola Telino,4,Dairy Products,12.5,15,12 - 100 g pkgs,14,Ravenna,2,United Package
10736,9,Anne,Dodsworth,Portsmouth                                        ,Northern                                          ,HUNGO,Hungry Owl All-Night Grocers,Patricia McKenna,65,Louisiana Fiery Hot Pepper Sauce,2,Condiments,21.05,40,32 - 8 oz bottles,2,New Orleans,2,United Package
10501,9,Anne,Dodsworth,Minneapolis                                       ,Northern                                          ,BLAUS,Blauer See Delikatessen,Hanna Moos,54,Tourtire,6,Meat/Poultry,7.45,20,16 pies,25,Montral,3,Federal Shipping
10324,9,Anne,Dodsworth,Minneapolis                                       ,Northern                                          ,SAVEA,Save-a-lot Markets,Jose Pavarotti,59,Raclette Courdavault,4,Dairy Products,44,40,5 kg pkg.,28,Annecy,1,Speedy Express
10506,9,Anne,Dodsworth,Roseville                                         ,Northern                                          ,KOENE,Kniglich Essen,Philip Cramer,25,NuNuCa Nu-Nougat-Creme,3,Confections,14,18,20 - 450 g glasses,11,Berlin,2,United Package
11016,9,Anne,Dodsworth,Roseville                                         ,Northern                                          ,AROUT,Around the Horn,Thomas Hardy,31,Gorgonzola Telino,4,Dairy Products,12.5,15,12 - 100 g pkgs,14,Ravenna,2,United Package
10736,9,Anne,Dodsworth,Troy                                              ,Northern                                          ,HUNGO,Hungry Owl All-Night Grocers,Patricia McKenna,65,Louisiana Fiery Hot Pepper Sauce,2,Condiments,21.05,40,32 - 8 oz bottles,2,New Orleans,2,United Package
10538,9,Anne,Dodsworth,Portsmouth                                        ,Northern                                          ,BSBEV,B-s Beverages,Victoria Ashworth,70,Outback Lager,1,Beverages,15,7,24 - 355 ml bottles,7,Melbourne,3,Federal Shipping
10324,9,Anne,Dodsworth,Portsmouth                                        ,Northern                                          ,SAVEA,Save-a-lot Markets,Jose Pavarotti,63,Vegie-spread,2,Condiments,35.1,80,15 - 625 g jars,7,Melbourne,1,Speedy Express
10506,9,Anne,Dodsworth,Hollis                                            ,Northern                                          ,KOENE,Kniglich Essen,Philip Cramer,70,Outback Lager,1,Beverages,15,14,24 - 355 ml bottles,7,Melbourne,2,United Package
11016,9,Anne,Dodsworth,Hollis                                            ,Northern                                          ,AROUT,Around the Horn,Thomas Hardy,36,Inlagd Sill,8,Seafood,19,16,24 - 250 g  jars,17,Stockholm,2,United Package
10736,9,Anne,Dodsworth,Roseville                                         ,Northern                                          ,HUNGO,Hungry Owl All-Night Grocers,Patricia McKenna,65,Louisiana Fiery Hot Pepper Sauce,2,Condiments,21.05,40,32 - 8 oz bottles,2,New Orleans,2,United Package
10538,9,Anne,Dodsworth,Troy                                              ,Northern                                          ,BSBEV,B-s Beverages,Victoria Ashworth,70,Outback Lager,1,Beverages,15,7,24 - 355 ml bottles,7,Melbourne,3,Federal Shipping
10324,9,Anne,Dodsworth,Troy                                              ,Northern                                          ,SAVEA,Save-a-lot Markets,Jose Pavarotti,63,Vegie-spread,2,Condiments,35.1,80,15 - 625 g jars,7,Melbourne,1,Speedy Express
10506,9,Anne,Dodsworth,Southfield                                        ,Northern                                          ,KOENE,Kniglich Essen,Philip Cramer,70,Outback Lager,1,Beverages,15,14,24 - 355 ml bottles,7,Melbourne,2,United Package
11016,9,Anne,Dodsworth,Southfield                                        ,Northern                                          ,AROUT,Around the Horn,Thomas Hardy,36,Inlagd Sill,8,Seafood,19,16,24 - 250 g  jars,17,Stockholm,2,United Package
10736,9,Anne,Dodsworth,Hollis                                            ,Northern                                          ,HUNGO,Hungry Owl All-Night Grocers,Patricia McKenna,75,Rhnbru Klosterbier,1,Beverages,7.75,20,24 - 0.5 l bottles,12,Frankfurt,2,United Package
10538,9,Anne,Dodsworth,Roseville                                         ,Northern                                          ,BSBEV,B-s Beverages,Victoria Ashworth,70,Outback Lager,1,Beverages,15,7,24 - 355 ml bottles,7,Melbourne,3,Federal Shipping
10324,9,Anne,Dodsworth,Roseville                                         ,Northern                                          ,SAVEA,Save-a-lot Markets,Jose Pavarotti,63,Vegie-spread,2,Condiments,35.1,80,15 - 625 g jars,7,Melbourne,1,Speedy Express
10506,9,Anne,Dodsworth,Bloomfield Hills                                  ,Northern                                          ,KOENE,Kniglich Essen,Philip Cramer,70,Outback Lager,1,Beverages,15,14,24 - 355 ml bottles,7,Melbourne,2,United Package
11016,9,Anne,Dodsworth,Bloomfield Hills                                  ,Northern                                          ,AROUT,Around the Horn,Thomas Hardy,36,Inlagd Sill,8,Seafood,19,16,24 - 250 g  jars,17,Stockholm,2,United Package
10736,9,Anne,Dodsworth,Southfield                                        ,Northern                                          ,HUNGO,Hungry Owl All-Night Grocers,Patricia McKenna,75,Rhnbru Klosterbier,1,Beverages,7.75,20,24 - 0.5 l bottles,12,Frankfurt,2,United Package
10538,9,Anne,Dodsworth,Hollis                                            ,Northern                                          ,BSBEV,B-s Beverages,Victoria Ashworth,72,Mozzarella di Giovanni,4,Dairy Products,34.8,1,24 - 200 g pkgs.,14,Ravenna,3,Federal Shipping
10331,9,Anne,Dodsworth,Hollis                                            ,Northern                                          ,BONAP,Bon app-,Laurence Lebihan,54,Tourtire,6,Meat/Poultry,5.9,15,16 pies,25,Montral,1,Speedy Express
10506,9,Anne,Dodsworth,Minneapolis                                       ,Northern                                          ,KOENE,Kniglich Essen,Philip Cramer,70,Outback Lager,1,Beverages,15,14,24 - 355 ml bottles,7,Melbourne,2,United Package
11016,9,Anne,Dodsworth,Minneapolis                                       ,Northern                                          ,AROUT,Around the Horn,Thomas Hardy,36,Inlagd Sill,8,Seafood,19,16,24 - 250 g  jars,17,Stockholm,2,United Package
10736,9,Anne,Dodsworth,Bloomfield Hills                                  ,Northern                                          ,HUNGO,Hungry Owl All-Night Grocers,Patricia McKenna,75,Rhnbru Klosterbier,1,Beverages,7.75,20,24 - 0.5 l bottles,12,Frankfurt,2,United Package
10538,9,Anne,Dodsworth,Southfield                                        ,Northern                                          ,BSBEV,B-s Beverages,Victoria Ashworth,72,Mozzarella di Giovanni,4,Dairy Products,34.8,1,24 - 200 g pkgs.,14,Ravenna,3,Federal Shipping
10331,9,Anne,Dodsworth,Southfield                                        ,Northern                                          ,BONAP,Bon app-,Laurence Lebihan,54,Tourtire,6,Meat/Poultry,5.9,15,16 pies,25,Montral,1,Speedy Express
10557,9,Anne,Dodsworth,Portsmouth                                        ,Northern                                          ,LEHMS,Lehmanns Marktstand,Renate Messner,64,Wimmers gute Semmelkndel,5,Grains/Cereals,33.25,30,20 bags x 4 pieces,12,Frankfurt,2,United Package
11017,9,Anne,Dodsworth,Portsmouth                                        ,Northern                                          ,ERNSH,Ernst Handel,Roland Mendel,3,Aniseed Syrup,2,Condiments,10,25,12 - 550 ml bottles,1,London,2,United Package
10736,9,Anne,Dodsworth,Minneapolis                                       ,Northern                                          ,HUNGO,Hungry Owl All-Night Grocers,Patricia McKenna,75,Rhnbru Klosterbier,1,Beverages,7.75,20,24 - 0.5 l bottles,12,Frankfurt,2,United Package
10538,9,Anne,Dodsworth,Bloomfield Hills                                  ,Northern                                          ,BSBEV,B-s Beverages,Victoria Ashworth,72,Mozzarella di Giovanni,4,Dairy Products,34.8,1,24 - 200 g pkgs.,14,Ravenna,3,Federal Shipping
10331,9,Anne,Dodsworth,Bloomfield Hills                                  ,Northern                                          ,BONAP,Bon app-,Laurence Lebihan,54,Tourtire,6,Meat/Poultry,5.9,15,16 pies,25,Montral,1,Speedy Express
10557,9,Anne,Dodsworth,Troy                                              ,Northern                                          ,LEHMS,Lehmanns Marktstand,Renate Messner,64,Wimmers gute Semmelkndel,5,Grains/Cereals,33.25,30,20 bags x 4 pieces,12,Frankfurt,2,United Package
11017,9,Anne,Dodsworth,Troy                                              ,Northern                                          ,ERNSH,Ernst Handel,Roland Mendel,3,Aniseed Syrup,2,Condiments,10,25,12 - 550 ml bottles,1,London,2,United Package
10771,9,Anne,Dodsworth,Portsmouth                                        ,Northern                                          ,ERNSH,Ernst Handel,Roland Mendel,71,Flotemysost,4,Dairy Products,21.5,16,10 - 500 g pkgs.,15,Sandvika,2,United Package
10538,9,Anne,Dodsworth,Minneapolis                                       ,Northern                                          ,BSBEV,B-s Beverages,Victoria Ashworth,72,Mozzarella di Giovanni,4,Dairy Products,34.8,1,24 - 200 g pkgs.,14,Ravenna,3,Federal Shipping
10331,9,Anne,Dodsworth,Minneapolis                                       ,Northern                                          ,BONAP,Bon app-,Laurence Lebihan,54,Tourtire,6,Meat/Poultry,5.9,15,16 pies,25,Montral,1,Speedy Express
10557,9,Anne,Dodsworth,Roseville                                         ,Northern                                          ,LEHMS,Lehmanns Marktstand,Renate Messner,64,Wimmers gute Semmelkndel,5,Grains/Cereals,33.25,30,20 bags x 4 pieces,12,Frankfurt,2,United Package
11017,9,Anne,Dodsworth,Roseville                                         ,Northern                                          ,ERNSH,Ernst Handel,Roland Mendel,3,Aniseed Syrup,2,Condiments,10,25,12 - 550 ml bottles,1,London,2,United Package
10771,9,Anne,Dodsworth,Troy                                              ,Northern                                          ,ERNSH,Ernst Handel,Roland Mendel,71,Flotemysost,4,Dairy Products,21.5,16,10 - 500 g pkgs.,15,Sandvika,2,United Package
10646,9,Anne,Dodsworth,Portsmouth                                        ,Northern                                          ,HUNGO,Hungry Owl All-Night Grocers,Patricia McKenna,1,Chai,1,Beverages,18,15,10 boxes x 20 bags,1,London,3,Federal Shipping
10475,9,Anne,Dodsworth,Portsmouth                                        ,Northern                                          ,SUPRD,Suprmes dlices,Pascale Cartrain,31,Gorgonzola Telino,4,Dairy Products,10,35,12 - 100 g pkgs,14,Ravenna,1,Speedy Express
10557,9,Anne,Dodsworth,Hollis                                            ,Northern                                          ,LEHMS,Lehmanns Marktstand,Renate Messner,75,Rhnbru Klosterbier,1,Beverages,7.75,20,24 - 0.5 l bottles,12,Frankfurt,2,United Package
11017,9,Anne,Dodsworth,Hollis                                            ,Northern                                          ,ERNSH,Ernst Handel,Roland Mendel,59,Raclette Courdavault,4,Dairy Products,55,110,5 kg pkg.,28,Annecy,2,United Package
10771,9,Anne,Dodsworth,Roseville                                         ,Northern                                          ,ERNSH,Ernst Handel,Roland Mendel,71,Flotemysost,4,Dairy Products,21.5,16,10 - 500 g pkgs.,15,Sandvika,2,United Package
10646,9,Anne,Dodsworth,Troy                                              ,Northern                                          ,HUNGO,Hungry Owl All-Night Grocers,Patricia McKenna,1,Chai,1,Beverages,18,15,10 boxes x 20 bags,1,London,3,Federal Shipping
10475,9,Anne,Dodsworth,Troy                                              ,Northern                                          ,SUPRD,Suprmes dlices,Pascale Cartrain,31,Gorgonzola Telino,4,Dairy Products,10,35,12 - 100 g pkgs,14,Ravenna,1,Speedy Express
10557,9,Anne,Dodsworth,Southfield                                        ,Northern                                          ,LEHMS,Lehmanns Marktstand,Renate Messner,75,Rhnbru Klosterbier,1,Beverages,7.75,20,24 - 0.5 l bottles,12,Frankfurt,2,United Package
11017,9,Anne,Dodsworth,Southfield                                        ,Northern                                          ,ERNSH,Ernst Handel,Roland Mendel,59,Raclette Courdavault,4,Dairy Products,55,110,5 kg pkg.,28,Annecy,2,United Package
10849,9,Anne,Dodsworth,Hollis                                            ,Northern                                          ,KOENE,Kniglich Essen,Philip Cramer,3,Aniseed Syrup,2,Condiments,10,49,12 - 550 ml bottles,1,London,2,United Package
10646,9,Anne,Dodsworth,Roseville                                         ,Northern                                          ,HUNGO,Hungry Owl All-Night Grocers,Patricia McKenna,1,Chai,1,Beverages,18,15,10 boxes x 20 bags,1,London,3,Federal Shipping
10475,9,Anne,Dodsworth,Roseville                                         ,Northern                                          ,SUPRD,Suprmes dlices,Pascale Cartrain,31,Gorgonzola Telino,4,Dairy Products,10,35,12 - 100 g pkgs,14,Ravenna,1,Speedy Express
10557,9,Anne,Dodsworth,Bloomfield Hills                                  ,Northern                                          ,LEHMS,Lehmanns Marktstand,Renate Messner,75,Rhnbru Klosterbier,1,Beverages,7.75,20,24 - 0.5 l bottles,12,Frankfurt,2,United Package
11017,9,Anne,Dodsworth,Bloomfield Hills                                  ,Northern                                          ,ERNSH,Ernst Handel,Roland Mendel,59,Raclette Courdavault,4,Dairy Products,55,110,5 kg pkg.,28,Annecy,2,United Package
10849,9,Anne,Dodsworth,Southfield                                        ,Northern                                          ,KOENE,Kniglich Essen,Philip Cramer,3,Aniseed Syrup,2,Condiments,10,49,12 - 550 ml bottles,1,London,2,United Package
10646,9,Anne,Dodsworth,Hollis                                            ,Northern                                          ,HUNGO,Hungry Owl All-Night Grocers,Patricia McKenna,10,Ikura,8,Seafood,31,18,12 - 200 ml jars,4,Tokyo,3,Federal Shipping
10475,9,Anne,Dodsworth,Hollis                                            ,Northern                                          ,SUPRD,Suprmes dlices,Pascale Cartrain,66,Louisiana Hot Spiced Okra,2,Condiments,13.6,60,24 - 8 oz jars,2,New Orleans,1,Speedy Express
10557,9,Anne,Dodsworth,Minneapolis                                       ,Northern                                          ,LEHMS,Lehmanns Marktstand,Renate Messner,75,Rhnbru Klosterbier,1,Beverages,7.75,20,24 - 0.5 l bottles,12,Frankfurt,2,United Package
11017,9,Anne,Dodsworth,Minneapolis                                       ,Northern                                          ,ERNSH,Ernst Handel,Roland Mendel,59,Raclette Courdavault,4,Dairy Products,55,110,5 kg pkg.,28,Annecy,2,United Package
10849,9,Anne,Dodsworth,Bloomfield Hills                                  ,Northern                                          ,KOENE,Kniglich Essen,Philip Cramer,3,Aniseed Syrup,2,Condiments,10,49,12 - 550 ml bottles,1,London,2,United Package
10646,9,Anne,Dodsworth,Southfield                                        ,Northern                                          ,HUNGO,Hungry Owl All-Night Grocers,Patricia McKenna,10,Ikura,8,Seafood,31,18,12 - 200 ml jars,4,Tokyo,3,Federal Shipping
10475,9,Anne,Dodsworth,Southfield                                        ,Northern                                          ,SUPRD,Suprmes dlices,Pascale Cartrain,66,Louisiana Hot Spiced Okra,2,Condiments,13.6,60,24 - 8 oz jars,2,New Orleans,1,Speedy Express
10577,9,Anne,Dodsworth,Portsmouth                                        ,Northern                                          ,TRAIH,Trail-s Head Gourmet Provisioners,Helvetius Nagy,39,Chartreuse verte,1,Beverages,18,10,750 cc per bottle,18,Paris,2,United Package
11017,9,Anne,Dodsworth,Portsmouth                                        ,Northern                                          ,ERNSH,Ernst Handel,Roland Mendel,70,Outback Lager,1,Beverages,15,30,24 - 355 ml bottles,7,Melbourne,2,United Package
10849,9,Anne,Dodsworth,Minneapolis                                       ,Northern                                          ,KOENE,Kniglich Essen,Philip Cramer,3,Aniseed Syrup,2,Condiments,10,49,12 - 550 ml bottles,1,London,2,United Package
10646,9,Anne,Dodsworth,Bloomfield Hills                                  ,Northern                                          ,HUNGO,Hungry Owl All-Night Grocers,Patricia McKenna,10,Ikura,8,Seafood,31,18,12 - 200 ml jars,4,Tokyo,3,Federal Shipping
10475,9,Anne,Dodsworth,Bloomfield Hills                                  ,Northern                                          ,SUPRD,Suprmes dlices,Pascale Cartrain,66,Louisiana Hot Spiced Okra,2,Condiments,13.6,60,24 - 8 oz jars,2,New Orleans,1,Speedy Express
10577,9,Anne,Dodsworth,Troy                                              ,Northern                                          ,TRAIH,Trail-s Head Gourmet Provisioners,Helvetius Nagy,39,Chartreuse verte,1,Beverages,18,10,750 cc per bottle,18,Paris,2,United Package
